Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[1.47844366 3.22471724 2.57475147 3.28028637]],[[0.481742   0.80351762 0.68387066 0.8099943 ]],[[0.82776728 0.75106701 0.77980915 0.75024648]],[[0.2183019  0.19521455 0.20453954 0.19508289]],[[0.95141512 0.89399548 0.91532819 0.89216485]],[[0.04765572 0.03810872 0.04183642 0.03805733]],corrosion
[[0.46607634 0.98403786 0.81758242 1.07010508]],[[0.3274301  0.48335606 0.43476523 0.52418385]],[[0.84941196 0.79997816 0.81607144 0.78434092]],[[0.30328788 0.28578663 0.29083066 0.27883816]],[[0.98517249 0.96871771 0.97396588 0.96596442]],[[0.09198354 0.081674   0.08458247 0.07775072]],corrosion
[[0.47218637 1.11075311 0.92081005 1.14297375]],[[0.32573403 0.57529092 0.5038564  0.58441967]],[[0.84998301 0.75873572 0.78517809 0.75630958]],[[0.22121913 0.18755608 0.19451765 0.18745958]],[[0.98305179 0.9601656  0.96698193 0.95900957]],[[0.0489379  0.03517728 0.03783712 0.0351411 ]],corrosion
[[1.20910614 1.57020534 1.24055944 1.54459774]],[[0.64403095 0.75701853 0.64283716 0.74460576]],[[0.72790588 0.69066445 0.73074401 0.69544407]],[[0.36657325 0.34831055 0.36864099 0.35039617]],[[0.55081573 0.41716877 0.53900879 0.42670436]],[[0.13437595 0.12132024 0.13589618 0.12277748]],corrosion
[[0.49734788 1.64905962 1.37310455 1.56530612]],[[0.31195741 0.66938776 0.58320032 0.64157663]],[[0.85935682 0.74227521 0.77026819 0.7498087 ]],[[0.28242317 0.23388999 0.2443756  0.23568403]],[[0.96221899 0.87451155 0.89538784 0.88089651]],[[0.07976285 0.05470453 0.05971943 0.05554696]],corrosion
[[0.68970915 1.15980475 0.56520773 0.86157683]],[[0.52579588 0.72247453 0.4595638  0.60291808]],[[0.75339622 0.68138049 0.78074815 0.72406239]],[[0.19442815 0.17296189 0.20364506 0.18497284]],[[0.95303631 0.92109342 0.96152847 0.94137727]],[[0.03780231 0.02991582 0.04147131 0.03421495]],corrosion
[[0.74661966 1.7488141  1.13982839 1.49016427]],[[0.32200066 0.53729117 0.42341344 0.50754027]],[[0.87144661 0.81453181 0.84163786 0.8178205 ]],[[0.28562864 0.26827999 0.27487667 0.26860558]],[[0.97718746 0.94659025 0.96518367 0.95449092]],[[0.08158372 0.07197415 0.07555719 0.07214896]],corrosion
[[1.21947398 1.71259623 1.10573274 1.84170954]],[[0.53246985 0.65886881 0.54632886 0.70709186]],[[0.78588519 0.74653476 0.77538179 0.73227363]],[[0.25051691 0.24132184 0.24902981 0.23770514]],[[0.97775831 0.96877869 0.97984164 0.9664209 ]],[[0.06275872 0.05823623 0.06201584 0.05650374]],corrosion
[[2.21735761 2.5996203  1.88538431 3.05023981]],[[0.93081998 1.03343325 0.81995221 1.10247802]],[[0.64165367 0.61195676 0.67966156 0.60183132]],[[0.23022821 0.21981621 0.24409373 0.2171939 ]],[[0.68119719 0.62666801 0.72896466 0.56194681]],[[0.05300503 0.04831917 0.05958175 0.04717319]],corrosion
[[0.37843352 1.45625857 1.30393939 1.37189737]],[[0.21710054 0.53011268 0.49621212 0.51503731]],[[0.90598412 0.80853956 0.81741316 0.8117075 ]],[[0.3588049  0.3164573  0.31995377 0.31662591]],[[0.95776067 0.83747552 0.85417566 0.84688991]],[[0.12874095 0.10014522 0.10237042 0.10025197]],corrosion
[[1.39470331 2.32887197 1.92786244 2.53824885]],[[0.67407407 0.93844921 0.82622676 0.96133039]],[[0.72378924 0.64455702 0.678489   0.64326429]],[[0.17698404 0.15627534 0.1643402  0.15504318]],[[0.94465296 0.90770885 0.92355171 0.89945398]],[[0.03132335 0.02442198 0.0270077  0.02403839]],corrosion
[[1.43710062 2.6072735  1.99404467 2.68996876]],[[0.62371465 0.85433655 0.70500873 0.86748487]],[[0.74480493 0.68051151 0.72642359 0.67942794]],[[0.1584635  0.14279798 0.15394765 0.14292771]],[[0.96485504 0.9360674  0.95114617 0.93403909]],[[0.02511068 0.02039126 0.02369988 0.02042833]],corrosion
[[0.2005518  0.30932462 0.21977681 0.30418532]],[[0.17906081 0.24854885 0.1895765  0.24431488]],[[0.91260871 0.88170606 0.90820938 0.88369797]],[[0.24337271 0.23423257 0.24319745 0.23393849]],[[0.99464271 0.99173782 0.99412919 0.99187512]],[[0.05923027 0.0548649  0.059145   0.05472722]],corrosion
[[2.01599326 2.43869922 1.48253994 2.37854414]],[[1.05298368 1.17489202 0.87800987 1.15733247]],[[0.56621013 0.53263761 0.61987257 0.53745972]],[[0.22696072 0.22031899 0.24064333 0.22128651]],[[0.43287186 0.31402948 0.58302031 0.33095022]],[[0.05151117 0.04854046 0.05790921 0.04896772]],corrosion
[[0.5970501  0.95007127 0.61633155 0.89981032]],[[0.38184636 0.50259878 0.38154011 0.49025323]],[[0.82885612 0.78705215 0.83045074 0.79032642]],[[0.47110063 0.44710601 0.47319389 0.44822084]],[[0.81650748 0.70801812 0.81087845 0.72346598]],[[0.2219358  0.19990378 0.22391246 0.20090192]],corrosion
[[0.56745453 0.89749425 0.51237857 0.95461591]],[[0.27534537 0.37319726 0.25148933 0.39000439]],[[0.88246285 0.8483813  0.8922931  0.84318239]],[[0.25818345 0.24499907 0.26457143 0.24326312]],[[0.97777994 0.96482402 0.97992135 0.96258468]],[[0.0666587  0.06002454 0.06999804 0.05917695]],corrosion
[[0.52732512 0.89911259 0.56593946 0.9172897 ]],[[0.37249079 0.53770752 0.40332595 0.53499353]],[[0.82790265 0.76326956 0.81339052 0.76543641]],[[0.19679098 0.17719476 0.1916191  0.17779536]],[[0.98608588 0.97625651 0.98504974 0.97577423]],[[0.03872669 0.03139798 0.03671788 0.03161119]],corrosion
[[1.30137342 1.91348488 1.05463847 1.78405329]],[[0.67826486 0.84609057 0.59818538 0.80413716]],[[0.71354548 0.66195531 0.74083743 0.67584321]],[[0.17306519 0.1589367  0.1805798  0.16274404]],[[0.94050897 0.91231107 0.95178078 0.91826717]],[[0.02995156 0.02526088 0.03260906 0.02648562]],corrosion
